Thu Jun 16 08:21:17 CEST 2016,pq,100000,128,1,209.7,100, 100
Thu Jun 16 08:21:20 CEST 2016,pq,100000,128,2,177.6,100, 100
Thu Jun 16 08:21:24 CEST 2016,pq,100000,128,4,193.2,100, 100
Thu Jun 16 08:21:28 CEST 2016,pq,100000,128,8,177.5,100, 100
Thu Jun 16 08:21:32 CEST 2016,pq,100000,128,16,191.0,100, 100
Thu Jun 16 08:21:38 CEST 2016,pq,100000,128,100,375.7,100, 100
Thu Jun 16 08:23:15 CEST 2016,ecp,100000,500,1,165.3,100, 414
Thu Jun 16 08:23:19 CEST 2016,ecp,100000,500,2,152.6,100, 274
Thu Jun 16 08:23:25 CEST 2016,ecp,100000,500,4,153.2,100, 494
Thu Jun 16 08:23:29 CEST 2016,ecp,100000,500,8,143.2,100, 619
Thu Jun 16 08:23:35 CEST 2016,ecp,100000,500,16,189.3,100, 364
Thu Jun 16 08:23:44 CEST 2016,ecp,100000,500,100,408.0,100, 609
Thu Jun 16 08:24:55 CEST 2016,vaf,100000,500,1,4026.3,100, 75761
Thu Jun 16 08:25:25 CEST 2016,vaf,100000,500,2,2097.0,100, 38344
Thu Jun 16 08:25:55 CEST 2016,vaf,100000,500,4,2195.6,100, 58491
Thu Jun 16 08:26:26 CEST 2016,vaf,100000,500,8,2199.0,100, 69320
Thu Jun 16 08:26:56 CEST 2016,vaf,100000,500,16,2235.4,100, 76628
Thu Jun 16 08:27:32 CEST 2016,vaf,100000,500,100,2600.7,100, 89940
Thu Jun 16 08:29:27 CEST 2016,lsh,100000,500,1,495.5,100, 740
Thu Jun 16 08:29:36 CEST 2016,lsh,100000,500,2,369.8,100, 679
Thu Jun 16 08:29:50 CEST 2016,lsh,100000,500,4,385.9,100, 1866
Thu Jun 16 08:29:59 CEST 2016,lsh,100000,500,8,405.4,100, 3967
Thu Jun 16 08:30:11 CEST 2016,lsh,100000,500,16,472.4,100, 7581
Thu Jun 16 08:30:32 CEST 2016,lsh,100000,500,100,1246.8,100, 32269
Thu Jun 16 08:30:50 CEST 2016,pq,100000,500,1,257.9,100, 100
Thu Jun 16 08:30:55 CEST 2016,pq,100000,500,2,214.0,100, 100
Thu Jun 16 08:31:01 CEST 2016,pq,100000,500,4,183.7,100, 100
Thu Jun 16 08:31:07 CEST 2016,pq,100000,500,8,207.5,100, 100
Thu Jun 16 08:31:14 CEST 2016,pq,100000,500,16,216.4,100, 100
Thu Jun 16 08:31:22 CEST 2016,pq,100000,500,100,365.3,100, 100
Thu Jun 16 08:31:36 CEST 2016,ecp,1000000,10,1,126.3,100, 297
Thu Jun 16 08:31:38 CEST 2016,ecp,1000000,10,2,131.9,100, 237
Thu Jun 16 08:31:40 CEST 2016,ecp,1000000,10,4,95.0,100, 229
Thu Jun 16 08:31:42 CEST 2016,ecp,1000000,10,8,112.0,100, 246
Thu Jun 16 08:31:44 CEST 2016,ecp,1000000,10,16,132.5,100, 380
Thu Jun 16 08:31:49 CEST 2016,ecp,1000000,10,100,368.4,100, 304
Thu Jun 16 08:31:54 CEST 2016,vaf,1000000,10,1,249.6,100, 1751
Thu Jun 16 08:31:56 CEST 2016,vaf,1000000,10,2,147.8,100, 1379
Thu Jun 16 08:31:59 CEST 2016,vaf,1000000,10,4,154.1,100, 3419
